time_since_last_foreground,sync_freq_ratio,within_typical_active_hours,cpu_pct_relative,app_category,label
4500,1.00,true,0.27,browser,idle_likely
40,1.10,true,1.44,communication,active_needed
152,1.38,true,2.08,streaming,active_needed
23000,0.15,false,0.16,browser,background_unused
8000,1.10,true,0.36,streaming,idle_likely
122,1.20,true,1.68,streaming,active_needed
198,1.00,true,1.24,browser,active_needed
258,1.10,true,1.38,streaming,active_needed
13800,0.23,false,0.07,cloud_sync,background_unused
10200,0.85,true,0.21,system_utility,idle_likely
30,1.24,true,2.14,streaming,active_needed
3200,1.38,true,1.58,streaming,active_needed
16000,0.19,false,0.15,cloud_sync,background_unused
5400,0.90,true,0.30,browser,idle_likely
86,1.12,true,1.94,streaming,active_needed
130,0.98,true,1.34,communication,active_needed
24800,0.06,false,0.04,browser,background_unused
8400,1.12,true,0.34,streaming,idle_likely
100,1.28,true,1.78,streaming,active_needed
218,0.88,true,1.08,browser,active_needed
282,1.20,true,1.54,streaming,active_needed
12000,0.23,false,0.09,cloud_sync,background_unused
6200,0.90,true,0.23,system_utility,idle_likely
66,1.26,true,2.30,streaming,active_needed
90,1.10,true,1.78,streaming,active_needed
18600,0.12,false,0.08,cloud_sync,background_unused
4100,0.96,true,0.25,browser,idle_likely
46,1.06,true,1.48,communication,active_needed
160,1.32,true,1.98,streaming,active_needed
20800,0.15,false,0.18,browser,background_unused
8200,1.04,true,0.36,streaming,idle_likely
110,1.16,true,1.64,streaming,active_needed
210,0.96,true,1.24,browser,active_needed
246,1.12,true,1.44,streaming,active_needed
14600,0.26,false,0.07,cloud_sync,background_unused
10600,0.84,true,0.19,system_utility,idle_likely
40,1.26,true,2.10,streaming,active_needed
3500,1.36,true,1.64,streaming,active_needed
16600,0.16,false,0.12,cloud_sync,background_unused
4700,0.92,true,0.28,browser,idle_likely
76,1.10,true,1.88,streaming,active_needed
120,1.02,true,1.38,communication,active_needed
25800,0.06,false,0.04,browser,background_unused
8800,1.06,true,0.32,streaming,idle_likely
110,1.22,true,1.68,streaming,active_needed
240,0.92,true,1.14,browser,active_needed
266,1.14,true,1.46,streaming,active_needed
12600,0.20,false,0.10,cloud_sync,background_unused
5600,0.88,true,0.21,system_utility,idle_likely
60,1.20,true,2.18,streaming,active_needed
96,1.12,true,1.72,streaming,active_needed
17600,0.14,false,0.10,cloud_sync,background_unused
4400,0.98,true,0.26,browser,idle_likely
38,1.08,true,1.42,communication,active_needed
150,1.36,true,2.06,streaming,active_needed
22800,0.14,false,0.15,browser,background_unused
7800,1.08,true,0.34,streaming,idle_likely
120,1.18,true,1.66,streaming,active_needed
196,0.98,true,1.22,browser,active_needed
256,1.08,true,1.36,streaming,active_needed
13600,0.22,false,0.06,cloud_sync,background_unused
10000,0.83,true,0.19,system_utility,idle_likely
28,1.22,true,2.12,streaming,active_needed
3100,1.36,true,1.56,streaming,active_needed
15800,0.18,false,0.14,cloud_sync,background_unused
5300,0.88,true,0.29,browser,idle_likely
84,1.10,true,1.92,streaming,active_needed
128,0.96,true,1.32,communication,active_needed
24600,0.05,false,0.03,browser,background_unused
8200,1.10,true,0.32,streaming,idle_likely
98,1.26,true,1.76,streaming,active_needed
216,0.86,true,1.06,browser,active_needed
280,1.18,true,1.52,streaming,active_needed
11800,0.21,false,0.08,cloud_sync,background_unused
6000,0.88,true,0.21,system_utility,idle_likely
64,1.24,true,2.28,streaming,active_needed
88,1.08,true,1.76,streaming,active_needed
18400,0.11,false,0.07,cloud_sync,background_unused
4000,0.94,true,0.24,browser,idle_likely
44,1.04,true,1.46,communication,active_needed
158,1.30,true,1.96,streaming,active_needed
20600,0.14,false,0.17,browser,background_unused
8000,1.02,true,0.34,streaming,idle_likely
108,1.14,true,1.62,streaming,active_needed
208,0.94,true,1.22,browser,active_needed
244,1.10,true,1.42,streaming,active_needed
14400,0.24,false,0.06,cloud_sync,background_unused
10400,0.82,true,0.18,system_utility,idle_likely
38,1.24,true,2.08,streaming,active_needed
3400,1.34,true,1.62,streaming,active_needed
16400,0.15,false,0.11,cloud_sync,background_unused
4600,0.90,true,0.27,browser,idle_likely
74,1.08,true,1.86,streaming,active_needed
118,1.00,true,1.36,communication,active_needed
25600,0.05,false,0.03,browser,background_unused
8600,1.04,true,0.30,streaming,idle_likely
108,1.20,true,1.66,streaming,active_needed
238,0.90,true,1.12,browser,active_needed
264,1.12,true,1.44,streaming,active_needed
12400,0.19,false,0.09,cloud_sync,background_unused
5400,0.86,true,0.20,system_utility,idle_likely
58,1.18,true,2.16,streaming,active_needed
94,1.10,true,1.70,streaming,active_needed
17400,0.13,false,0.09,cloud_sync,background_unused
4300,0.96,true,0.25,browser,idle_likely
36,1.06,true,1.40,communication,active_needed
148,1.34,true,2.04,streaming,active_needed
22600,0.13,false,0.14,browser,background_unused
7600,1.06,true,0.32,streaming,idle_likely
118,1.16,true,1.64,streaming,active_needed
194,0.96,true,1.20,browser,active_needed
254,1.06,true,1.34,streaming,active_needed
13400,0.20,false,0.05,cloud_sync,background_unused
9800,0.81,true,0.18,system_utility,idle_likely
26,1.20,true,2.10,streaming,active_needed
3000,1.34,true,1.54,streaming,active_needed
15600,0.17,false,0.13,cloud_sync,background_unused
5200,0.86,true,0.28,browser,idle_likely
82,1.08,true,1.90,streaming,active_needed
126,0.94,true,1.30,communication,active_needed
24400,0.04,false,0.02,browser,background_unused
8000,1.08,true,0.30,streaming,idle_likely
96,1.24,true,1.74,streaming,active_needed
214,0.84,true,1.04,browser,active_needed
278,1.16,true,1.48,streaming,active_needed
11600,0.20,false,0.07,cloud_sync,background_unused
5800,0.86,true,0.19,system_utility,idle_likely
62,1.22,true,2.26,streaming,active_needed
86,1.06,true,1.74,streaming,active_needed
18200,0.10,false,0.06,cloud_sync,background_unused
3900,0.92,true,0.23,browser,idle_likely
42,1.02,true,1.44,communication,active_needed
156,1.28,true,1.94,streaming,active_needed
20400,0.13,false,0.16,browser,background_unused
7800,1.00,true,0.32,streaming,idle_likely
106,1.12,true,1.60,streaming,active_needed
206,0.92,true,1.20,browser,active_needed
242,1.08,true,1.40,streaming,active_needed
14200,0.22,false,0.05,cloud_sync,background_unused
10200,0.80,true,0.17,system_utility,idle_likely
36,1.22,true,2.06,streaming,active_needed
3300,1.32,true,1.60,streaming,active_needed
16200,0.14,false,0.10,cloud_sync,background_unused
4500,0.88,true,0.26,browser,idle_likely
72,1.06,true,1.84,streaming,active_needed
116,0.98,true,1.34,communication,active_needed
25400,0.04,false,0.02,browser,background_unused
8400,1.02,true,0.28,streaming,idle_likely
106,1.18,true,1.64,streaming,active_needed
236,0.88,true,1.10,browser,active_needed
262,1.10,true,1.42,streaming,active_needed
12200,0.18,false,0.08,cloud_sync,background_unused
5200,0.84,true,0.19,system_utility,idle_likely
56,1.16,true,2.14,streaming,active_needed
92,1.08,true,1.68,streaming,active_needed
17200,0.12,false,0.08,cloud_sync,background_unused
4200,0.94,true,0.24,browser,idle_likely
34,1.04,true,1.38,communication,active_needed
146,1.32,true,2.02,streaming,active_needed
22400,0.12,false,0.13,browser,background_unused
7400,1.04,true,0.30,streaming,idle_likely
116,1.14,true,1.62,streaming,active_needed
192,0.94,true,1.18,browser,active_needed
252,1.04,true,1.32,streaming,active_needed
13200,0.19,false,0.04,cloud_sync,background_unused
9600,0.80,true,0.17,system_utility,idle_likely
24,1.18,true,2.08,streaming,active_needed
2900,1.32,true,1.52,streaming,active_needed
15400,0.16,false,0.12,cloud_sync,background_unused
5100,0.84,true,0.27,browser,idle_likely
80,1.06,true,1.88,streaming,active_needed
124,0.92,true,1.28,communication,active_needed
24200,0.03,false,0.01,browser,background_unused
7800,1.06,true,0.28,streaming,idle_likely
94,1.22,true,1.72,streaming,active_needed
212,0.82,true,1.02,browser,active_needed
276,1.14,true,1.48,streaming,active_needed
11400,0.19,false,0.06,cloud_sync,background_unused
5600,0.84,true,0.18,system_utility,idle_likely
120,2.80,true,2.50,streaming,active_needed
3600,0.15,true,0.12,streaming,background_unused
7200,0.25,false,2.80,cloud_sync,idle_likely
15,0.05,true,0.10,streaming,active_needed
24000,2.90,true,0.05,cloud_sync,background_unused
90,2.10,false,0.20,browser,active_needed
15000,0.10,false,1.90,system_utility,idle_likely
45,1.15,true,2.20,streaming,active_needed
18000,0.15,false,0.10,cloud_sync,background_unused
5400,1.10,true,0.35,streaming,idle_likely
